Hour,Consumption Sma (kWh/h),Consumption Saft (kWh/h),Turbine Production (kWh/h),DH plant Consumption (kWh/h),FCR-N (EUR/MW),FCR-N (MW),FCR-D up (EUR/MW),FCR-D up (MW),FCR-D down (EUR/MW),FCR-D down (MW),Irradiance (Wh/m2),Day Ahead (EUR/MWh)
2023-01-26 11:00:00,316.33500000000004,2680.903,3772.2000000000003,616.7200000000003,41.11953,0.0,40.27688,5.1,16.5611301857708,2.7,211.84229737476778,189.57
2023-01-26 12:00:00,216.967,2594.701,3770.632,625.848,40.5459130045249,0.0,40.29431,4.9,16.4485376758893,2.9,196.3627501300449,180.53
2023-01-26 13:00:00,311.15199999999993,2697.363,3770.5919999999996,646.9760000000001,40.2780208311688,1.0,40.352,5.1,16.4809341501976,2.8,142.9318378636339,180.29
2023-01-26 14:00:00,322.20799999999997,2634.9489999999996,3766.24,653.1759999999999,40.9862713688213,0.0,39.1625491899678,5.0,16.2036247905138,2.9,61.76593876591714,127.96
2023-01-26 15:00:00,337.635,2706.787,3771.1679999999997,633.9760000000001,40.87427,0.0,39.3684590696492,5.0,15.4943373672687,2.9,0.660135061695007,135.48
2023-01-26 16:00:00,391.25600000000003,2564.88,3771.1679999999997,604.0239999999999,40.86525,0.0,39.4110063633282,5.1,15.4684677963272,2.8,0.0,153.0
2023-01-26 17:00:00,358.849,2514.6119999999996,3771.4079999999994,618.4959999999996,40.3094788288288,0.0,39.086036459922,5.0,15.3634746436652,2.8,0.0,181.73
2023-01-26 18:00:00,303.034,2371.2529999999997,3770.968,582.3679999999999,40.8229432488688,0.0,38.9762233451957,5.3,15.6371845701357,2.8,0.0,150.0
2023-01-26 19:00:00,243.275,2522.692,3771.808,603.344,40.8534363636364,0.0,39.1059585646501,5.3,16.1812851167964,2.9,0.0,133.92
2023-01-26 20:00:00,221.44799999999998,2635.436,3771.4399999999996,605.1439999999998,40.5376886796537,0.0,39.1799789323843,5.3,15.6805341769437,2.6,0.0,110.28
